iter	Passed	Remaining
946	11006	615
947	11017	604
948	11029	592
949	11040	581
950	11052	569
951	11064	557
952	11076	546
953	11087	534
954	11098	522
955	11109	511
956	11121	499
957	11132	488
958	11143	476
959	11155	464
960	11166	453
961	11178	441
962	11189	429
963	11201	418
964	11213	406
965	11225	395
966	11237	383
967	11248	371
968	11260	360
969	11272	348
970	11284	337
971	11296	325
972	11308	313
973	11320	302
974	11332	290
975	11343	278
976	11355	267
977	11366	255
978	11378	244
979	11390	232
980	11401	220
981	11413	209
982	11425	197
983	11438	185
984	11449	174
985	11461	162
986	11473	151
987	11484	139
988	11495	127
989	11507	116
990	11518	104
991	11529	92
992	11540	81
993	11551	69
994	11563	58
995	11574	46
996	11585	34
997	11597	23
998	11608	11
999	11619	0
